# cap_val status_code n_archi costo energia tempo ritardo penale obiettivo consegnati
10.000000 0 47 106.000000 6.000000 47.000000 0.000000 1800000.000000 0.297721 1
100.000000 9 46 470.000000 79.000000 47.000000 3.000000 1200000.000001 0.269730 6
200.000000 9 47 714.000000 153.000000 47.000000 -0.000000 800000.000004 0.253451 10
400.000000 0 46 1346.000000 272.000000 47.000000 1.000000 200000.000000 0.249742 17
600.000000 0 47 1346.000000 272.000000 47.000000 1.000000 200000.000000 0.249742 17
1000.000000 0 47 1346.000000 272.000000 47.000000 1.000000 200000.000000 0.249742 17
1100.000000 0 47 1346.000000 272.000000 47.000000 1.000000 200000.000000 0.249742 17
1260.000000 0 47 1346.000000 272.000000 47.000000 1.000000 200000.000000 0.249742 17
1400.000000 0 47 1346.000000 272.000000 47.000000 1.000000 200000.000000 0.249742 17
1600.000000 0 47 1346.000000 272.000000 47.000000 1.000000 200000.000000 0.249742 17
1800.000000 0 47 1346.000000 272.000000 47.000000 1.000000 200000.000000 0.249742 17
2000.000000 0 47 1346.000000 272.000000 47.000000 1.000000 200000.000000 0.249742 17
2200.000000 0 47 1346.000000 272.000000 47.000000 1.000000 200000.000000 0.249742 17
